2020年1月14日～5月12日,,,,,
＊新型コロナウイルス感染症に関する以下のデータについて、報告日は診断した医師から情報が「報告（＝届出）された日」、発症日は診断した医師から「発症日」として寄せられた情報、である。,,,,,
＊報告の確認に時間を要することから、直近の報告はグラフに反映されにくいため、解釈には注意が必要である。,,,,,
,,,,,
,報告日（図１）,,,発症日（図2）,
,2020/1/14,,,2020/1/14,2
,2020/1/15,,,2020/1/15,
,2020/1/16,,,2020/1/16,
,2020/1/17,,,2020/1/17,1
,2020/1/18,,,2020/1/18,
,2020/1/19,,,2020/1/19,
,2020/1/20,,,2020/1/20,4
,2020/1/21,,,2020/1/21,
,2020/1/22,,,2020/1/22,2
,2020/1/23,,,2020/1/23,4
,2020/1/24,,,2020/1/24,3
,2020/1/25,,,2020/1/25,1
,2020/1/26,,,2020/1/26,1
,2020/1/27,,,2020/1/27,
,2020/1/28,,,2020/1/28,1
,2020/1/29,,,2020/1/29,4
,2020/1/30,,,2020/1/30,4
,2020/1/31,,,2020/1/31,5
,2020/2/1,2,,2020/2/1,9
,2020/2/2,,,2020/2/2,7
,2020/2/3,6,,2020/2/3,13
,2020/2/4,3,,2020/2/4,11
,2020/2/5,10,,2020/2/5,6
,2020/2/6,56,,2020/2/6,22
,2020/2/7,11,,2020/2/7,33
,2020/2/8,1,,2020/2/8,22
,2020/2/9,5,,2020/2/9,14
,2020/2/10,22,,2020/2/10,13
,2020/2/11,51,,2020/2/11,21
,2020/2/12,29,,2020/2/12,16
,2020/2/13,14,,2020/2/13,23
,2020/2/14,36,,2020/2/14,13
,2020/2/15,48,,2020/2/15,7
,2020/2/16,80,,2020/2/16,14
,2020/2/17,106,,2020/2/17,10
,2020/2/18,38,,2020/2/18,22
,2020/2/19,90,,2020/2/19,4
,2020/2/20,48,,2020/2/20,15
,2020/2/21,25,,2020/2/21,14
,2020/2/22,41,,2020/2/22,11
,2020/2/23,44,,2020/2/23,17
,2020/2/24,21,,2020/2/24,13
,2020/2/25,22,,2020/2/25,25
,2020/2/26,17,,2020/2/26,15
,2020/2/27,16,,2020/2/27,20
,2020/2/28,16,,2020/2/28,30
,2020/2/29,9,,2020/2/29,20
,2020/3/1,6,,2020/3/1,29
,2020/3/2,28,,2020/3/2,18
,2020/3/3,33,,2020/3/3,27
,2020/3/4,28,,2020/3/4,27
,2020/3/5,35,,2020/3/5,24
,2020/3/6,55,,2020/3/6,36
,2020/3/7,37,,2020/3/7,23
,2020/3/8,30,,2020/3/8,17
,2020/3/9,42,,2020/3/9,18
,2020/3/10,65,,2020/3/10,24
,2020/3/11,44,,2020/3/11,29
,2020/3/12,48,,2020/3/12,18
,2020/3/13,43,,2020/3/13,29
,2020/3/14,47,,2020/3/14,29
,2020/3/15,21,,2020/3/15,36
,2020/3/16,25,,2020/3/16,52
,2020/3/17,47,,2020/3/17,54
,2020/3/18,36,,2020/3/18,63
,2020/3/19,46,,2020/3/19,59
,2020/3/20,36,,2020/3/20,76
,2020/3/21,53,,2020/3/21,69
,2020/3/22,31,,2020/3/22,86
,2020/3/23,50,,2020/3/23,148
,2020/3/24,85,,2020/3/24,125
,2020/3/25,92,,2020/3/25,124
,2020/3/26,83,,2020/3/26,154
,2020/3/27,122,,2020/3/27,232
,2020/3/28,208,,2020/3/28,242
,2020/3/29,137,,2020/3/29,222
,2020/3/30,158,,2020/3/30,333
,2020/3/31,221,,2020/3/31,297
,2020/4/1,291,,2020/4/1,404
,2020/4/2,289,,2020/4/2,321
,2020/4/3,374,,2020/4/3,383
,2020/4/4,356,,2020/4/4,355
,2020/4/5,247,,2020/4/5,319
,2020/4/6,305,,2020/4/6,366
,2020/4/7,429,,2020/4/7,332
,2020/4/8,517,,2020/4/8,319
,2020/4/9,627,,2020/4/9,244
,2020/4/10,612,,2020/4/10,304
,2020/4/11,600,,2020/4/11,234
,2020/4/12,379,,2020/4/12,225
,2020/4/13,468,,2020/4/13,244
,2020/4/14,482,,2020/4/14,212
,2020/4/15,581,,2020/4/15,189
,2020/4/16,550,,2020/4/16,182
,2020/4/17,503,,2020/4/17,171
,2020/4/18,445,,2020/4/18,145
,2020/4/19,281,,2020/4/19,125
,2020/4/20,401,,2020/4/20,160
,2020/4/21,358,,2020/4/21,113
,2020/4/22,392,,2020/4/22,105
,2020/4/23,332,,2020/4/23,91
,2020/4/24,306,,2020/4/24,95
,2020/4/25,229,,2020/4/25,79
,2020/4/26,163,,2020/4/26,75
,2020/4/27,204,,2020/4/27,84
,2020/4/28,207,,2020/4/28,72
,2020/4/29,212,,2020/4/29,56
,2020/4/30,211,,2020/4/30,57
,2020/5/1,148,,2020/5/1,57
,2020/5/2,179,,2020/5/2,42
,2020/5/3,134,,2020/5/3,40
,2020/5/4,87,,2020/5/4,26
,2020/5/5,68,,2020/5/5,13
,2020/5/6,71,,2020/5/6,13
,2020/5/7,80,,2020/5/7,6
,2020/5/8,73,,2020/5/8,9
,2020/5/9,84,,2020/5/9,2
,2020/5/10,45,,2020/5/10,1
,2020/5/11,4,,2020/5/11,
,2020/5/12,1,,2020/5/12,
,,15184,,,9482
